obsID,cross_checked,reference,title,confirmation_bias,DOI,journal,paperID,subsetID,speciesID,common_name,species,species_cleaned,species_class,year,region,country,lat_lon,fitness_main_focus,study_type,shared_group,dispersal_type,dispersal_phase,fitness_metric,composite_variable,study_design,age_class,sex,n,group_1,group_2,n_group_1,n_group_2,mean_group_1,mean_group_2,mean_units,type_of_variance,variance_group_1,variance_group_2,function_needed,direction_change,effect_size,effect_size_details,effect_size_type,effect_size_value,effect_size_direction,effect_size_df,effect_size_p_value,effect_size_p_value_numeric,effect_size_type_of_variance,effect_size_variance,data_source,comments
ARM,NA,Bestion et al. 2015,Dispersal response to climate change: Scaling down to intraspecific variation,B,10.1111/ele.12502,Ecology Letters,p001,c001,s001,common lizard,Zootoca vivipara,Zootoca vivipara,Reptilia,2010-2013,Cévennes mountains,France,"44.426726799618535, 3.7392569677771585",N,semi-natural,N,natal,settlement,survival,N,contrast,J,B,202,non-disperser,disperser,156,46,NA,NA,NA,NA,NA,NA,t_method1,1,linear model,glm,t or z value,2.29,positive = disperser did better than non-disperser,200,0.02,0.02,NA,NA,text page 1229,
SLPB,ARM,Lacey 2004,"Sociality reduces individual direct fitness in a communally breeding rodent, the colonial tuco-tuco (Ctenomys sociabilis)",N,10.1007/s00265-004-0805-6,Behavioral Ecology and Sociobiology,p002,c002,s002,social tuco-tuco,Ctenomys sociabilis,Ctenomys sociabilis,Mammalia,1996-2001,Estancia Rincón Grande,Argentina,"-37.79513065582337, -57.79850653664789",Y,natural,N,natal,settlement,offspring survival to yearling,N,contrast,J,F,126,non-disperser,disperser,85,41,NA,NA,NA,NA,NA,NA,F_method1,1,likelihood ratio,G-test,G value,4.33,positive = disperser did better than non-disperser,NA,0.04,0.04,NA,NA,text page 453,"lone=dispersers, group=non-dispersers; figure 5a has the proportion (figure 5b is proportion of burrows w/o surviving daughters)"
SLPB,ARM,Lacey 2004,"Sociality reduces individual direct fitness in a communally breeding rodent, the colonial tuco-tuco (Ctenomys sociabilis)",N,10.1007/s00265-004-0805-6,Behavioral Ecology and Sociobiology,p002,c002,s002,social tuco-tuco,Ctenomys sociabilis,Ctenomys sociabilis,Mammalia,1996-2001,Estancia Rincón Grande,Argentina,"-37.79513065582337, -57.79850653664789",Y,natural,N,natal,settlement,n pups reared to weaning,N,contrast,J,F,32,non-disperser,disperser,13,19,3.4,4.3,mean n of pups,SD,0.9,1.2,mean_method,1,t-test,two-tailed t-test,t or z value,3.21,positive = disperser did better than non-disperser,30,0.003,0.003,NA,NA,text page 452,"lone=dispersers, group=non-dispersers"
SLPB,ARM,Lacey 2004,"Sociality reduces individual direct fitness in a communally breeding rodent, the colonial tuco-tuco (Ctenomys sociabilis)",N,10.1007/s00265-004-0805-6,Behavioral Ecology and Sociobiology,p002,c002,s002,social tuco-tuco,Ctenomys sociabilis,Ctenomys sociabilis,Mammalia,1996-2001,Estancia Rincón Grande,Argentina,"-37.79513065582337, -57.79850653664789",Y,natural,N,natal,settlement,survival 1st to 2nd year,N,contrast,J,F,37,non-disperser,disperser,19,18,NA,NA,NA,NA,NA,NA,p_method1,1,non-parametric,Wilcoxon,Wilcoxon,91,positive = disperser did better than non-disperser,NA,0.87,0.87,NA,NA,text page 453,"lone=dispersers, group=non-dispersers; figure 2a/b for disperser/non-disperser n respectively (c/d excludes drought year data)"
SLPB,ARM,Lacey 2004,"Sociality reduces individual direct fitness in a communally breeding rodent, the colonial tuco-tuco (Ctenomys sociabilis)",N,10.1007/s00265-004-0805-6,Behavioral Ecology and Sociobiology,p002,c002,s002,social tuco-tuco,Ctenomys sociabilis,Ctenomys sociabilis,Mammalia,1996-2001,Estancia Rincón Grande,Argentina,"-37.79513065582337, -57.79850653664789",Y,natural,N,natal,settlement,lifetime n of pups reared to weaning,N,contrast,J,F,30,non-disperser,disperser,18,12,4.094112,4.395122,mean lifetime n of pups reared to weaning,SD,1.452113,1.688996,mean_method,1,non-parametric,Mann-Whitney U two-tailed,Mann-Whitney U,86.5,positive = disperser did better than non-disperser,NA,0.36,0.36,NA,NA,text page 453; figure 3a page 453,"lone=dispersers, group=non-dispersers; figure 3a (b excludes drought year data)"
SLPB,ARM,Lacey 2004,"Sociality reduces individual direct fitness in a communally breeding rodent, the colonial tuco-tuco (Ctenomys sociabilis)",N,10.1007/s00265-004-0805-6,Behavioral Ecology and Sociobiology,p002,c002,s002,social tuco-tuco,Ctenomys sociabilis,Ctenomys sociabilis,Mammalia,1996-2001,Estancia Rincón Grande,Argentina,"-37.79513065582337, -57.79850653664789",Y,natural,N,natal,settlement,n of yearling daughters,N,contrast,J,F,24,non-disperser,disperser,9,15,0.698732,1.173043,mean n of yearling daughters,SD,0.5515704,1.2854114,mean_method,1,non-parametric,Mann-Whitney U two-tailed,Mann-Whitney U,67.5,positive = disperser did better than non-disperser,NA,1,1,NA,NA,"text page 453, figure 4c page 454","lone=dispersers, group=non-dispersers; figure 4a/b are daughters weaned; ""Screen Shot 2023-12-27 at 10.14.03 AM.png"""
SLPB,ARM,Warren & Baines 2007,Dispersal distances of juvenile radiotagged Red Grouse Lagopus lagopus scoticus on moors in northern England,NA,10.1111/j.1474-919X.2007.00705.x,Ibis,p003,c003,s003,red grouse,Lagopus lagopus scoticus,Lagopus lagopus,Aves,1999-2002,Durham,England,"54.7753775712412, -1.5834173873480937",Y,natural,N,natal,settlement,survival (shooting season),N,gradient,J,F,96,dead,alive,33,63,1547,861,mean meters,SD,1436.140662,952.470472,mean_method,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,text page 760,extra stats on page 760; converted SE to SD
SLPB,ARM,Warren & Baines 2007,Dispersal distances of juvenile radiotagged Red Grouse Lagopus lagopus scoticus on moors in northern England,NA,10.1111/j.1474-919X.2007.00705.x,Ibis,p003,c004,s003,red grouse,Lagopus lagopus scoticus,Lagopus lagopus,Aves,1999-2002,Durham,England,"54.7753775712412, -1.5834173873480937",Y,natural,N,natal,settlement,survival (shooting season),N,gradient,J,M,27,dead,alive,6,21,690,343,mean meters,SD,815.6984737,142.0598465,mean_method,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,text page 760,extra stats on page 760; converted SE to SD
SLPB,ARM,Smith & Anderson 2001,Does Dispersal Help Regulate the Jackson Elk Herd?,NA,10.2307/3784017,Wildlife Society Bulletin,p004,c006,s004,elk,Cervus elaphus,Cervus elaphus,Mammalia,1990-1994,Moran,Wyoming,"43.84180186000002, -110.50838359383458",N,natural,N,natal,settlement,survival,N,contrast,J,B,129,non-disperser,disperser,109,20,89.90825688,55,percent alive,NA,NA,NA,percent_method1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,text page 336,
SLPB,ARM,Smith 1993,THE ROLE OF DISPERSAL IN STRUCTURING THE CHITWAN TIGER POPULATION,C,10.1163/156853993X00560,Behaviour,p005,c008,s005,tiger,Panthera tigris,Panthera tigris,Mammalia,1977-1987,Royal Chitwan National Park,Nepal,"27.52271390839938, 84.31635551169794",N,natural,N,natal,settlement,survival,N,contrast,J,B,14,non-disperser,disperser,5,9,80,44.44444444,percent alive,NA,NA,NA,percent_method1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table 2 page 174,combined females and males because of infufficient sample size in females (n_group_2=1) 
