"","obsID","cross_checked","reference","paperID","subsetID","speciesID","common_name","species","species_cleaned","species_class","region","country","lat","lon","fitness_main_focus","confirmation_bias","study_type","shared_group","dispersal_type","dispersal_phase","fitness_metric","study_design","age_class","sex","n","group_1","group_2","n_group_1","n_group_2","mean_group_1","mean_group_2","mean_units","type_of_variance","variance_group_1","variance_group_2","function_needed","direction_change","effect_size","effect_size_details","effect_size_type","effect_size_value","positive...non.disperser.did.better.than.disperser","effect_size_df","effect_size_p_value_numeric","effect_size_type_of_variance","effect_size_variance","publication_year","publication_authors","age_class_clean","fitness_metric_clean","fitness_higher_level","whose_fitness"
"1","ARM",NA,"Bestion et al. 2015","p001","c001","s001","common lizard","Zootoca vivipara","Zootoca vivipara","Reptilia","Cévennes mountains","France",44.4267267996185,3.73925696777716,"N",NA,"semi-natural","N","natal","settlement","survival","contrast","J","B",202,"non-disperser","disperser",156,46,NA,NA,NA,NA,NA,NA,"t_method1",1,"linear model","glm","t or z value",2.29,"positive = disperser did better than non-disperser",200,0.02,NA,NA,2015,"Bestion et al.","juvenile","survival","survival","individual"
"2","SLPB","ARM","Lacey 2004","p002","c002","s002","social tuco-tuco","Ctenomys sociabilis","Ctenomys sociabilis","Mammalia","Estancia Rincón Grande","Argentina",-37.7951306558234,-57.7985065366479,"Y",NA,"natural","N","natal","settlement","offspring survival to yearling","contrast","J","F",126,"non-disperser","disperser",85,41,NA,NA,NA,NA,NA,NA,"F_method1",1,"likelihood ratio","G-test","G value",4.33,"positive = disperser did better than non-disperser",NA,0.04,NA,NA,2004,"Lacey","juvenile","offspring survival","survival","offspring"
"3","SLPB","ARM","Lacey 2004","p002","c002","s002","social tuco-tuco","Ctenomys sociabilis","Ctenomys sociabilis","Mammalia","Estancia Rincón Grande","Argentina",-37.7951306558234,-57.7985065366479,"Y",NA,"natural","N","natal","settlement","n pups reared to weaning","contrast","J","F",32,"non-disperser","disperser",13,19,3.4,4.3,"mean n of pups","SD",0.9,1.2,"mean_method",1,"t-test","two-tailed t-test","t or z value",3.21,"positive = disperser did better than non-disperser",30,0.003,NA,NA,2004,"Lacey","juvenile","lifetime reproductive success","reproduction","individual"
"4","SLPB","ARM","Lacey 2004","p002","c002","s002","social tuco-tuco","Ctenomys sociabilis","Ctenomys sociabilis","Mammalia","Estancia Rincón Grande","Argentina",-37.7951306558234,-57.7985065366479,"Y",NA,"natural","N","natal","settlement","survival 1st to 2nd year","contrast","J","F",37,"non-disperser","disperser",19,18,NA,NA,NA,NA,NA,NA,"p_method1",1,"non-parametric","Wilcoxon","Wilcoxon",91,"positive = disperser did better than non-disperser",NA,0.87,NA,NA,2004,"Lacey","juvenile","survival","survival","individual"
"5","SLPB","ARM","Lacey 2004","p002","c002","s002","social tuco-tuco","Ctenomys sociabilis","Ctenomys sociabilis","Mammalia","Estancia Rincón Grande","Argentina",-37.7951306558234,-57.7985065366479,"Y",NA,"natural","N","natal","settlement","lifetime n of pups reared to weaning","contrast","J","F",30,"non-disperser","disperser",18,12,4.094112,4.395122,"mean lifetime n of pups reared to weaning","SD",1.452113,1.688996,"mean_method",1,"non-parametric","Mann-Whitney U two-tailed","Mann-Whitney U",86.5,"positive = disperser did better than non-disperser",NA,0.36,NA,NA,2004,"Lacey","juvenile","lifetime reproductive success","reproduction","individual"
"6","SLPB","ARM","Lacey 2004","p002","c002","s002","social tuco-tuco","Ctenomys sociabilis","Ctenomys sociabilis","Mammalia","Estancia Rincón Grande","Argentina",-37.7951306558234,-57.7985065366479,"Y",NA,"natural","N","natal","settlement","n of yearling daughters","contrast","J","F",24,"non-disperser","disperser",9,15,0.698732,1.173043,"mean n of yearling daughters","SD",0.5515704,1.2854114,"mean_method",1,"non-parametric","Mann-Whitney U two-tailed","Mann-Whitney U",67.5,"positive = disperser did better than non-disperser",NA,1,NA,NA,2004,"Lacey","juvenile","offspring survival","survival","offspring"
"7","SLPB","ARM","Warren & Baines 2007","p003","c003","s003","red grouse","Lagopus lagopus scoticus","Lagopus lagopus","Aves","Durham","England",54.7753775712412,-1.58341738734809,"Y",NA,"natural","N","natal","settlement","survival (shooting season)","gradient","J","F",96,"dead","alive",33,63,1547,861,"mean meters","SD",1436.140662,952.470472,"mean_method",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,"Warren & Baines","juvenile","survival","survival","individual"
"8","SLPB","ARM","Warren & Baines 2007","p003","c004","s003","red grouse","Lagopus lagopus scoticus","Lagopus lagopus","Aves","Durham","England",54.7753775712412,-1.58341738734809,"Y",NA,"natural","N","natal","settlement","survival (shooting season)","gradient","J","M",27,"dead","alive",6,21,690,343,"mean meters","SD",815.6984737,142.0598465,"mean_method",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,"Warren & Baines","juvenile","survival","survival","individual"
"9","SLPB","ARM","Smith & Anderson 2001","p004","c006","s004","elk","Cervus elaphus","Cervus elaphus","Mammalia","Moran","Wyoming",43.84180186,-110.508383593835,"N",NA,"natural","N","natal","settlement","survival","contrast","J","B",129,"non-disperser","disperser",109,20,89.90825688,55,"percent alive",NA,NA,NA,"percent_method1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001,"Smith & Anderson","juvenile","survival","survival","individual"
"10","SLPB","ARM","Smith 1993","p005","c008","s005","tiger","Panthera tigris","Panthera tigris","Mammalia","Royal Chitwan National Park","Nepal",27.5227139083994,84.3163555116979,"N",NA,"natural","N","natal","settlement","survival","contrast","J","B",14,"non-disperser","disperser",5,9,80,44.44444444,"percent alive",NA,NA,NA,"percent_method1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,"Smith","juvenile","survival","survival","individual"
"11","ARM",NA,"Matthews et al. 2013","p006","c010","s006","fisher","Martes pennanti","Martes pennanti","Mammalia","Hoopa Valley Indian Reservation","California",41.0986776279244,-123.686614325337,"Y",NA,"natural","N","natal","settlement","survival","contrast","J","B",10,"dead","alive",2,8,3351,5898,"mean meters","SD",4010.003,5890.2,"mean_method",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,"Matthews et al.","juvenile","survival","survival","individual"
"12","ARM",NA,"Stillman et al. 2022","p007","c012","s007","black-backed woodpecker","Picoides arcticus","Picoides arcticus","Aves","Cascade Range","California & Washington ",42.2057432137121,-121.742812563445,"N",NA,"natural","N","natal","prospection","survival","gradient","J","B",23,"dead","alive",7,16,5327.334,13718.02,"mean meters","SD",4252.736,12651.06,"mean_method",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,"Stillman et al.","juvenile","survival","survival","individual"
"13","ARM",NA,"Zepeda et al. 2021","p008","c013","s008","coyote","Canis latrans","Canis latrans","Mammalia","Chicago","Illionis",41.8729969574008,-87.6619376816639,"N",NA,"natural","N","natal","settlement","survival","gradient","A","B",19,"dead","alive",10,9,15558.93,9330.818,"mean meters","SD",18173.47,8330.278,"mean_method",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"Zepeda et al.","adult","survival","survival","individual"
"14","ARM",NA,"Dueser et al. 1981","p009","c014","s009","meadow vole","Microtus pennsylvanicus","Microtus pennsylvanicus","Mammalia","Charlottesville","Virginia",38.0293989170101,-78.4771082427416,"N",NA,"semi-natural","N","B","settlement","lifespan","contrast","A","M",73,"non-disperser","disperser",16,57,18.2,18.8,"mean meters","SD",10.17,15.27,"mean_method",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981,"Dueser et al.","adult","survival","survival","individual"
"15","ARM",NA,"Dueser et al. 1981","p009","c014","s009","meadow vole","Microtus pennsylvanicus","Microtus pennsylvanicus","Mammalia","Charlottesville","Virginia",38.0293989170101,-78.4771082427416,"N",NA,"semi-natural","N","B","settlement","lifespan","contrast","A","M",44,"non-disperser","disperser",11,33,24.1,21.2,"mean meters","SD",15.75,9.93,"mean_method",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981,"Dueser et al.","adult","survival","survival","individual"
"16","ARM",NA,"Dueser et al. 1981","p009","c015","s009","meadow vole","Microtus pennsylvanicus","Microtus pennsylvanicus","Mammalia","Charlottesville","Virginia",38.0293989170101,-78.4771082427416,"N",NA,"semi-natural","N","B","settlement","lifespan","contrast","A","F",61,"non-disperser","disperser",19,42,22.8,22.5,"mean meters","SD",14.48,15.44,"mean_method",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981,"Dueser et al.","adult","survival","survival","individual"
"17","ARM",NA,"Dueser et al. 1981","p009","c015","s009","meadow vole","Microtus pennsylvanicus","Microtus pennsylvanicus","Mammalia","Charlottesville","Virginia",38.0293989170101,-78.4771082427416,"N",NA,"semi-natural","N","B","settlement","lifespan","contrast","A","F",36,"non-disperser","disperser",11,25,26.7,30.2,"mean meters","SD",19.06,17.58,"mean_method",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981,"Dueser et al.","adult","survival","survival","individual"
"18","ARM","ML","Newton & Marquiss 1983","p010","c016","s010","sparrowhawk","Accipiter nisus","Accipiter nisus","Aves","Annan","Scotland",54.9886984040401,-3.25663930293424,"N",NA,"natural","E","natal","settlement","clutch size","contrast","A","M",25,"low","high",5,20,5.27,5.01,"geometric mean meters","SD",8.608861713,4.382693236,"mean_method",1,"t-test","two-tailed t-test","t or z value",0.12,"positive = non-disperser did better than disperser",23,NA,NA,NA,1983,"Newton & Marquiss","adult","lifetime breeding success","reproduction","individual"
