"","species_cleaned","n_es","dispersal_pattern","fitness_measure","species_class"
"1","Zootoca vivipara",10,"Natal dispersal","Multiple","Reptilia"
"2","Ctenomys sociabilis",5,"Natal dispersal","Multiple","Mammalia"
"3","Lagopus lagopus",12,"Both types","Multiple","Aves"
"4","Cervus elaphus",1,"Natal dispersal","Survival","Mammalia"
"5","Panthera tigris",2,"Natal dispersal","Survival","Mammalia"
"6","Martes pennanti",1,"Natal dispersal","Survival","Mammalia"
"7","Picoides arcticus",1,"Natal dispersal","Survival","Aves"
"8","Canis latrans",1,"Natal dispersal","Survival","Mammalia"
"9","Microtus pennsylvanicus",4,"Both types","Survival","Mammalia"
"10","Accipiter nisus",6,"Natal dispersal","Multiple","Aves"
"11","Microtus ochrogaster",31,"Both types","Multiple","Mammalia"
"12","Dipodomys spectabilis",16,"Natal dispersal","Survival","Mammalia"
"13","Peromyscus leucopus",4,"Natal dispersal","Multiple","Mammalia"
"14","Cynomys ludovicianus",1,"Both types","Survival","Mammalia"
"15","Helogale parvula",4,"Both types","Multiple","Mammalia"
"16","Parus major",23,"Natal dispersal","Multiple","Aves"
"17","Ursus americanus",3,"Natal dispersal","Survival","Mammalia"
"18","Poecile palustris",4,"Natal dispersal","Survival","Aves"
"19","Ficedula albicollis",56,"Both types","Multiple","Aves"
"20","Perisoreus canadensis",6,"Both types","Multiple","Aves"
"21","Ficedula hypoleuca",13,"Breeding dispersal","Reproduction","Aves"
"22","Alouatta palliata",1,"Natal dispersal","Survival","Mammalia"
"23","Falcipennis canadensis",6,"Natal dispersal","Multiple","Aves"
"24","Passerina cyanea",12,"Breeding dispersal","Reproduction","Aves"
"25","Urocitellus columbianus",4,"Natal dispersal","Multiple","Mammalia"
"26","Bonasa umbellus",3,"Both types","Survival","Aves"
"27","Alces alces",1,"Natal dispersal","Reproduction","Mammalia"
"28","Aegolius funereus",2,"Breeding dispersal","Reproduction","Aves"
"29","Tamiasciurus hudsonicus",31,"Both types","Multiple","Mammalia"
"30","Sciurus vulgaris",8,"Natal dispersal","Multiple","Mammalia"
"31","Marmota flaviventris",3,"Natal dispersal","Survival","Mammalia"
"32","Microtus oeconomus",1,"Natal dispersal","Survival","Mammalia"
"33","Ctenomys talarum",1,"Both types","Reproduction","Mammalia"
"34","Papio cynocephalus",1,"Natal dispersal","Survival","Mammalia"
"35","Sialia sialis",2,"Natal dispersal","Reproduction","Aves"
"36","Canis lupus",12,"Both types","Multiple","Mammalia"
"37","Vulpes lagopus",3,"Natal dispersal","Multiple","Mammalia"
"38","Equus caballus",4,"Both types","Multiple","Mammalia"
"39","Vulpes velox",6,"Both types","Survival","Mammalia"
"40","Falco sparverius",2,"Natal dispersal","Reproduction","Aves"
"41","Lynx lynx",1,"Natal dispersal","Survival","Mammalia"
"42","Branta bernicla nigricans",1,"Breeding dispersal","Reproduction","Aves"
"43","Myodes glareolus",1,"Both types","Survival","Mammalia"
"44","Lacerta agilis",7,"Breeding dispersal","Multiple","Reptilia"
"45","Strix occidentalis caurina",1,"Natal dispersal","Survival","Aves"
"46","Myodes rufocanus",3,"Breeding dispersal","Reproduction","Mammalia"
"47","Gyrinus opacus",2,"Breeding dispersal","Survival","Insecta"
"48","Urocitellus townsendii",1,"Natal dispersal","Survival","Mammalia"
"49","Urocitellus parryii plesius",1,"Natal dispersal","Survival","Mammalia"
"50","Perisoreus infaustus",6,"Natal dispersal","Multiple","Aves"
"51","Rupicapra rupicapra",1,"Both types","Survival","Mammalia"
"52","Setophaga petechia",2,"Breeding dispersal","Reproduction","Aves"
"53","Odocoileus virginianus",5,"Natal dispersal","Survival","Mammalia"
"54","Lepus americanus",1,"Natal dispersal","Survival","Mammalia"
"55","Vulpes macrotis",2,"Natal dispersal","Survival","Mammalia"
"56","Branta leucopsis",3,"Natal dispersal","Reproduction","Aves"
"57","Hieraaetus fasciatus",1,"Natal dispersal","Survival","Aves"
"58","Mustela putorius furo",2,"Natal dispersal","Survival","Mammalia"
"59","Crocuta crocuta",4,"Natal dispersal","Reproduction","Mammalia"
"60","Gallinula mortierii",4,"Natal dispersal","Survival","Aves"
"61","Milvus migrans",8,"Natal dispersal","Reproduction","Aves"
"62","Rissa tridactyla",1,"Breeding dispersal","Reproduction","Aves"
"63","Phascolarctos cinereus",4,"Natal dispersal","Survival","Mammalia"
"64","Tachycineta bicolor",2,"Natal dispersal","Reproduction","Aves"
"65","Colinus virginianus",1,"Natal dispersal","Survival","Aves"
"66","Picoides borealis",14,"Natal dispersal","Multiple","Aves"
"67","Corvus brachyrhynchos",1,"Natal dispersal","Survival","Aves"
"68","Cyanocorax morio",2,"Natal dispersal","Reproduction","Aves"
