"","reference","paperID","common_name","species_cleaned","dispersal_type"
"1","Bestion et al. 2015","p001","common lizard","Zootoca vivipara","natal"
"2","Lacey 2004","p002","social tuco-tuco","Ctenomys sociabilis","natal"
"3","Lacey 2004","p002","social tuco-tuco","Ctenomys sociabilis","natal"
"4","Lacey 2004","p002","social tuco-tuco","Ctenomys sociabilis","natal"
"5","Lacey 2004","p002","social tuco-tuco","Ctenomys sociabilis","natal"
"6","Lacey 2004","p002","social tuco-tuco","Ctenomys sociabilis","natal"
"7","Warren & Baines 2007","p003","red grouse","Lagopus lagopus","natal"
"8","Warren & Baines 2007","p003","red grouse","Lagopus lagopus","natal"
"9","Smith & Anderson 2001","p004","elk","Cervus elaphus","natal"
"10","Smith 1993","p005","tiger","Panthera tigris","natal"
"11","Matthews et al. 2013","p006","fisher","Martes pennanti","natal"
"12","Stillman et al. 2022","p007","black-backed woodpecker","Picoides arcticus","natal"
"13","Zepeda et al. 2021","p008","coyote","Canis latrans","natal"
"14","Dueser et al. 1981","p009","meadow vole","Microtus pennsylvanicus","B"
"15","Dueser et al. 1981","p009","meadow vole","Microtus pennsylvanicus","B"
"16","Dueser et al. 1981","p009","meadow vole","Microtus pennsylvanicus","B"
"17","Dueser et al. 1981","p009","meadow vole","Microtus pennsylvanicus","B"
"18","Newton & Marquiss 1983","p010","sparrowhawk","Accipiter nisus","natal"
"19","Newton & Marquiss 1983","p010","sparrowhawk","Accipiter nisus","natal"
"20","Newton & Marquiss 1983","p010","sparrowhawk","Accipiter nisus","natal"
"21","Newton & Marquiss 1983","p010","sparrowhawk","Accipiter nisus","natal"
"22","Newton & Marquiss 1983","p010","sparrowhawk","Accipiter nisus","natal"
"23","Newton & Marquiss 1983","p010","sparrowhawk","Accipiter nisus","natal"
"24","Johnson & Gaines 1985","p011","prairie vole","Microtus ochrogaster","natal"
"25","Johnson & Gaines 1985","p011","prairie vole","Microtus ochrogaster","natal"
"26","Johnson & Gaines 1985","p011","prairie vole","Microtus ochrogaster","breeding"
"27","Johnson & Gaines 1985","p011","prairie vole","Microtus ochrogaster","breeding"
"28","Johnson & Gaines 1985","p011","prairie vole","Microtus ochrogaster","natal"
"29","Johnson & Gaines 1985","p011","prairie vole","Microtus ochrogaster","natal"
"30","Johnson & Gaines 1985","p011","prairie vole","Microtus ochrogaster","natal"
